title,release_date,budget,revenue,runtime,popularity,vote_average,vote_count,belongs_to_collection,director,lead_actor,profit,profit_margin,production_company,genre1,genre2,genre3
Animal Factory,2000-10-13,3600000,43805,94,2.641,6.4,236,False,Steve Buscemi,Willem Dafoe,-3556195,-81.18239926948978,Franchise Pictures,Crime,Drama,
Hannah Montana: The Movie,2009-04-10,35000000,155545279,102,2.6402,6.6,2033,False,Peter Chelsom,Miley Cyrus,120545279,0.7749851347143747,It's a Laugh Productions,Comedy,Drama,Family
The Book of Clarence,2024-01-11,40000000,6205230,129,2.6388,5.906,106,False,Jeymes Samuel,LaKeith Stanfield,-33794770,-5.446175242497055,Legendary Pictures,Adventure,Comedy,Drama
A Most Violent Year,2014-12-31,20000000,12007070,124,2.6377,6.6,1444,False,J.C. Chandor,Oscar Isaac,-7992930,-0.6656853004105081,Participant,Crime,Drama,Thriller
Rampart,2011-11-23,12000000,972512,108,2.6374,5.449,372,False,Oren Moverman,Woody Harrelson,-11027488,-11.33917936231121,Lightstream Pictures,Crime,Drama,
Garden State,2004-07-28,2500000,26781723,102,2.6373,7.1,1908,False,Zach Braff,Zach Braff,24281723,0.9066527571807087,Camelot Pictures,Comedy,Drama,Romance
Letters from Iwo Jima,2006-12-09,19000000,68673228,141,2.637,7.474,2111,True,Clint Eastwood,Ken Watanabe,49673228,0.7233274078801131,Warner Bros. Pictures,Action,Drama,War
Raising Helen,2004-05-27,50000000,49700000,119,2.6363,6.1,666,False,Garry Marshall,Kate Hudson,-300000,-0.006036217303822937,Beacon Pictures,Drama,Comedy,Romance
The Aeronauts,2019-11-04,40000000,3485251,100,2.6356,6.8,1131,False,Tom Harper,Eddie Redmayne,-36514749,-10.476935233646014,Amazon Studios,Adventure,Drama,Romance
Secret Window,2004-03-12,40000000,92900000,96,2.6343,6.564,3711,False,David Koepp,Johnny Depp,52900000,0.5694294940796556,Pariah,Mystery,Thriller,
90 Minutes in Heaven,2015-09-11,5000000,4842699,121,2.6334,5.9,167,False,Michael Polish,Kate Bosworth,-157301,-0.032482093146817506,Giving Films,Drama,,
3 from Hell,2019-09-16,3000000,2295825,115,2.6329,5.8,495,True,Rob Zombie,Sheri Moon Zombie,-704175,-0.3067198066054686,Lionsgate,Horror,Thriller,
